"DivIndex" "HerbLayer" "GroundVeg" "Litter" "Plot"
1.05 0.27 0.01 0 "1"
1.13 0.45 0.01 0 "1"
1 0.63 0.01 0 "1"
0.87 0.49 0.01 0 "1"
0.94 0.32 0.03 0 "1"
1.01 0.73 0.27 0 "1"
1.2 0.68 0.15 0 "1"
0.38 0.2 0.15 0.63 "2"
0.71 0.39 0.59 0.06 "2"
0.82 0.38 0.35 0.49 "2"
0.78 0.29 0.36 0.44 "2"
0.61 0.22 0.3 0.44 "2"
0.88 0.57 0.32 0.29 "3"
0.85 0.44 0.48 0.29 "3"
0.65 0.18 0.23 0.68 "3"
0.86 0 0.13 0.03 "4"
0.95 0 0.03 0 "4"
0.92 0 0.39 0 "4"
0.73 0 0.14 0 "4"
0.9 0 0.1 0 "4"
1.01 0.38 0.56 0.1 "5"
1.02 0 0.24 0 "5"
0.98 0.41 0.63 0 "5"
1.05 0.37 0.49 0 "5"
1.18 0.32 0.54 0.01 "5"
0.85 0 0.01 0.01 "6"
0.93 0 0 0 "6"
0.89 0 0 0 "6"
0.8 0 0 0 "6"
0.89 0.03 0.88 0 "6"
1.02 0.88 0 0.05 "6"
1.07 0.73 0.03 0.06 "6"
1.11 0.59 0.02 0 "7"
0.85 0.69 0.02 0 "7"
0.63 0.37 0.01 0 "7"
0.59 0.15 0.03 0 "7"
0.86 0.59 0 0 "7"
0.88 0.59 0.03 0 "7"
1.11 0.18 0.02 0 "7"
0.82 0.22 0.1 0.02 "8"
0.82 0.24 0.06 0.08 "8"
1.04 0.2 0.08 0.15 "8"
1.08 0.15 0.15 0.13 "8"
0.89 0.24 0.06 0 "8"
0.92 0 0.48 0 "9"
1.02 0 0.1 0 "9"
1.06 0 0 0 "9"
0.87 0 0 0 "9"
1.03 0 0 0 "9"
0.93 0.83 0.01 0 "10"
1.15 0.78 0.01 0 "10"
1.08 0.68 0.01 0 "10"
1.03 0.63 0 0 "10"
1.1 0.68 0.03 0 "10"
0.96 0 0.15 0 "11"
0.79 0 0.02 0 "11"
0.86 0 0.22 0 "11"
0.92 0 0.02 0 "11"
0.96 0 0.37 0 "11"
0.62 0.54 0.03 0.03 "12"
0.85 0.58 0.22 0.22 "12"
1.16 0.44 0.15 0 "12"
1.22 0.63 0.34 0 "12"
1.18 0.61 0.18 0 "12"
1.16 0.02 0.3 0.06 "12"
1.18 0.78 0.34 0 "12"
0.57 0.12 0.88 0 "13"
1.03 0.01 0.83 0.03 "13"
1.19 0.69 0.36 0.01 "13"
0.82 0.03 0.22 0.76 "13"
1 0.03 0.73 0.36 "13"
0.88 0 0.25 0 "14"
0.91 0 0.34 0 "14"
0.99 0 0.02 0 "14"
0.88 0 0.43 0 "14"
0.99 0 0.49 0 "14"
1.04 0.2 0.56 0.02 "15"
1.15 0.69 0.25 0.02 "15"
1.06 0.2 0.42 0.33 "15"
0.82 0.2 0.22 0.36 "15"
0.94 0.57 0.18 0.1 "15"
1.38 0.54 0.16 0.16 "15"
1.23 0.64 0.63 0.16 "15"
0.97 0 0.18 0 "16"
1.04 0 0.24 0 "16"
1.01 0 0 0 "16"
0.84 0.1 0.31 0 "16"
0.91 0 0.06 0 "16"
0.96 0 0 0 "17"
0.92 0.01 0.27 0 "17"
0.8 0 0.03 0 "17"
0.95 0.01 0.38 0 "17"
1.04 0 0.24 0 "17"
0.99 0.39 0.12 0.48 "17"
0.83 0.39 0.39 0.02 "17"
0.95 0.27 0.54 0.39 "18"
0.96 0.33 0.21 0.01 "18"
1.16 0.11 0.88 0.03 "18"
1.15 0.3 0.51 0 "18"
1.13 0.41 0.54 0.03 "18"
1.13 0.09 0.06 0 "19"
1.09 0.01 0.03 0.38 "19"
1.2 0.36 0.54 0.03 "19"
1.02 0 0.02 0 "19"
1.21 0.35 0.31 0.03 "19"
0.97 0.39 0.63 0.07 "20"
1.21 0.49 0.56 0.03 "20"
0.98 0.23 0.73 0.63 "20"
0.95 0.13 0.78 0.12 "20"
0.99 0.54 0.52 0.34 "20"
0.93 0.23 0.38 0 "21"
0.87 0.58 0.38 0 "21"
0.98 0.54 0 0 "21"
1.04 0.18 0 0 "21"
1.06 0.39 0 0 "21"
1.1 0.39 0.27 0 "21"
1.04 0.42 0.01 0 "21"
1.02 0.68 0.11 0 "22"
1.05 0.64 0.07 0 "22"
1.14 0.73 0.01 0 "22"
1.02 0.58 0.05 0 "22"
1.14 0.68 0.03 0 "22"
1.2 0.69 0.04 0 "22"
1.12 0.78 0.02 0 "22"
0.92 0 0.19 0.01 "23"
0.86 0 0.16 0 "23"
0.89 0 0.1 0 "23"
0.87 0 0.29 0 "23"
0.88 0 0.03 0 "23"
1.05 0 0.19 0.33 "24"
0.85 0 0.24 0.03 "24"
0.77 0.63 0.15 0.01 "24"
0.86 0 0.06 0.06 "24"
1 0.03 0.22 0 "24"
0.93 0.03 0.83 0 "25"
0.84 0.16 0.63 0.38 "25"
0.99 0.03 0.88 0 "25"
0.96 0 0.73 0 "25"
0.93 0.03 0.73 0 "25"
1.2 0.58 0.05 0 "26"
1.21 0.3 0.03 0 "26"
1.05 0.68 0.03 0 "26"
0.91 0.54 0.01 0 "26"
0.93 0.58 0.19 0 "26"
0.78 0.37 0.58 0.43 "27"
0.82 0.32 0.39 0.41 "27"
0.86 0.73 0.48 0.06 "27"
1 0.78 0.39 0.19 "27"
0.87 0.39 0.76 0.03 "27"
1.02 0.45 0.71 0.09 "27"
0.84 0.4 0.78 0.14 "27"
1.05 0.36 0.24 0 "28"
1.03 0.39 0.05 0 "28"
1.06 0.23 0.12 0 "28"
1.1 0.59 0.04 0 "28"
0.83 0.25 0.33 0 "28"
0.92 0 0 0 "30"
0.97 0 0.1 0 "30"
1.07 0.16 0.6 0 "30"
0.93 0 0.02 0 "30"
1 0 0.25 0 "30"
1.03 0.58 0.58 0.36 "31"
1.2 0.88 0.35 0.11 "31"
1.09 0.61 0.15 0 "31"
1.02 0.41 0.24 0 "31"
1.06 0 0.39 0.03 "31"
0.94 0.12 0.53 0.01 "31"
0.9 0 0.68 0 "31"
