"centre" "treat" "y" "n" "obs"
"1" "drug" 11 36 0.305555555555556
"1" "control" 10 37 0.27027027027027
"2" "drug" 16 20 0.8
"2" "control" 22 32 0.6875
"3" "drug" 14 19 0.736842105263158
"3" "control" 7 19 0.368421052631579
"4" "drug" 2 16 0.125
"4" "control" 1 17 0.0588235294117647
"5" "drug" 6 17 0.352941176470588
"5" "control" 0 12 0
"6" "drug" 1 11 0.0909090909090909
"6" "control" 0 10 0
"7" "drug" 1 5 0.2
"7" "control" 1 9 0.111111111111111
"8" "drug" 4 6 0.666666666666667
"8" "control" 6 7 0.857142857142857
"9" "drug" 30 54 0.555555555555556
"9" "control" 20 56 0.357142857142857
"10" "drug" 30 101 0.297029702970297
"10" "control" 45 93 0.483870967741935
"11" "drug" 17 28 0.607142857142857
"11" "control" 22 28 0.785714285714286
